Timestamp,LED,Vi,Vo,LUX
1707412,0,0.00000,0.02444,0.00232
1715356,0,0.00000,0.02444,0.00232
1723296,0,0.00000,0.02444,0.00232
1731240,0,0.00000,0.02444,0.00232
1739180,0,0.00000,0.02444,0.00232
1747124,0,0.00000,0.02444,0.00232
1755064,0,0.00000,0.02444,0.00232
1763008,0,0.00000,0.02444,0.00232
1770952,0,0.00000,0.02444,0.00232
1778892,0,0.00000,0.02444,0.00232
1786832,0,0.00000,0.02444,0.00232
1794776,0,0.00000,0.02444,0.00232
1802720,0,0.00000,0.02444,0.00232
1810660,0,0.00000,0.02444,0.00232
1818600,0,0.00000,0.02444,0.00232
1826544,0,0.00000,0.02444,0.00232
1834488,0,0.00000,0.02444,0.00232
1842428,0,0.00000,0.02444,0.00232
1850372,0,0.00000,0.02444,0.00232
1858312,0,0.00000,0.02444,0.00232
1866256,0,0.00000,0.02444,0.00232
1874196,0,0.00000,0.02444,0.00232
1882140,0,0.00000,0.02444,0.00232
1890080,0,0.00000,0.02444,0.00232
1898024,0,0.00000,0.02444,0.00232
1905964,0,0.00000,0.02444,0.00232
1913908,0,0.00000,0.02444,0.00232
1921848,0,0.00000,0.02444,0.00232
1929792,0,0.00000,0.02444,0.00232
1937744,0,0.00000,0.02933,0.00313
1945684,0,0.00000,0.02444,0.00232
1953624,0,0.00000,0.02933,0.00313
1961568,0,0.00000,0.02444,0.00232
1969508,0,0.00000,0.02444,0.00232
1977452,0,0.00000,0.02444,0.00232
1985392,0,0.00000,0.02444,0.00232
1993336,0,0.00000,0.02444,0.00232
2001276,0,0.00000,0.02444,0.00232
2009220,0,0.00000,0.02444,0.00232
2017160,0,0.00000,0.02444,0.00232
2025104,0,0.00000,0.02444,0.00232
2033044,0,0.00000,0.02444,0.00232
2040988,0,0.00000,0.02444,0.00232
2048928,0,0.00000,0.02444,0.00232
2056864,0,0.00000,0.02444,0.00232
2064804,0,0.00000,0.02444,0.00232
2072740,0,0.00000,0.02444,0.00232
2080680,0,0.00000,0.02444,0.00232
2088616,0,0.00000,0.02444,0.00232
2096556,0,0.00000,0.02444,0.00232
2104500,0,0.00000,0.02444,0.00232
2112440,0,0.00000,0.02444,0.00232
2120376,0,0.00000,0.02444,0.00232
2128320,0,0.00000,0.02444,0.00232
2136260,0,0.00000,0.02444,0.00232
2144200,0,0.00000,0.02444,0.00232
2152144,0,0.00000,0.02444,0.00232
2160088,0,0.00000,0.02444,0.00232
2168028,0,0.00000,0.02444,0.00232
2175968,0,0.00000,0.02444,0.00232
2183912,0,0.00000,0.02444,0.00232
2191856,0,0.00000,0.02444,0.00232
2199796,0,0.00000,0.02444,0.00232
2207736,0,0.00000,0.02444,0.00232
2215680,0,0.00000,0.02444,0.00232
2223624,0,0.00000,0.02444,0.00232
2231564,0,0.00000,0.02444,0.00232
