Timestamp,LED,Vi,Vo,LUX
9109852,150,2.25000,3.96872,126.51632
9118088,150,2.25000,3.97361,127.76107
9126328,150,2.25000,3.96383,125.28791
9134572,150,2.25000,3.96383,125.28791
9142812,150,2.25000,3.96872,126.51632
9151052,150,2.25000,3.96383,125.28791
9159292,150,2.25000,3.95894,124.07575
9167524,150,2.25000,3.95894,124.07575
9175756,150,2.25000,3.95894,124.07575
9183988,150,2.25000,3.95894,124.07575
9192220,150,2.25000,3.96872,126.51632
9200460,150,2.25000,3.96383,125.28791
9208700,150,2.25000,3.96383,125.28791
9216940,150,2.25000,3.96872,126.51632
9225180,150,2.25000,3.96383,125.28791
9233424,150,2.25000,3.96383,125.28791
9241664,150,2.25000,3.96383,125.28791
9249904,150,2.25000,3.96383,125.28791
9258148,150,2.25000,3.96872,126.51632
9266388,150,2.25000,3.96872,126.51632
9274624,150,2.25000,3.97361,127.76107
9282864,150,2.25000,3.97361,127.76107
9291112,150,2.25000,3.97849,129.02255
9299352,150,2.25000,3.97849,129.02255
9307592,150,2.25000,3.97849,129.02255
9315828,150,2.25000,3.96872,126.51632
9324068,150,2.25000,3.96872,126.51632
9332308,150,2.25000,3.97361,127.76107
9340548,150,2.25000,3.96872,126.51632
9348788,150,2.25000,3.96872,126.51632
9357028,150,2.25000,3.96872,126.51632
9365268,150,2.25000,3.95894,124.07575
9373500,150,2.25000,3.96383,125.28791
9381740,150,2.25000,3.95894,124.07575
9389972,150,2.25000,3.95894,124.07575
9398204,150,2.25000,3.95406,122.87940
9406428,150,2.25000,3.96383,125.28791
9414676,150,2.25000,3.96872,126.51632
9422916,150,2.25000,3.96872,126.51632
9431156,150,2.25000,3.96872,126.51632
9439392,150,2.25000,3.95894,124.07575
9447628,150,2.25000,3.96872,126.51632
9455864,150,2.25000,3.96383,125.28791
9464108,150,2.25000,3.96872,126.51632
9472344,150,2.25000,3.97361,127.76107
9480584,150,2.25000,3.97361,127.76107
9488824,150,2.25000,3.97361,127.76107
